Saint,Date of birth,Date of death,Date of canonization,Notes
Adalgar,900s,9 May 909,,Archbishop of Bremen
Adalgott II of Disentis[20],1100s,1165,,Bishop of Chur[20]
Adamo Abate,c. 990,3 May 1060–1070,,Professed religious of the Benedictines
Adauctus,200s,303,,Martyred with Felix
Adela of Normandy,c. 1067,8 March 1137,,Daughter of William the Conqueror
Adela of Pfalzel,unknown,735,,Sister of Irmina of Oeren
Adelaide of Italy,931,16 December 999,1097 by Pope Urban II[21],"Married layperson of the Archdiocese of Burgundy, queen of Italy and Burgundy, empress"
"Adelaide, Abbess of Vilich",c. 970,5 February 1015,,Professed religious of the Benedictine nuns
Adelelmus of Burgos,1000s,1100,,
Adeloga of Kitzingen,unknown,c. 745,,
Adheritus,100s,unknown,,
Adjutor,24 June 1073,30 April 1131,,
Adolf of Osnabrück,c. 1185,30 June 1222 or 1224,1625 by Pope Urban VIII,
Adolphus Ludigo-Mkasa[22],c. 1861,3 June 1886[23],18 October 1964 by Pope Paul VI,One of the Uganda Martyrs[13][14]
Adomnán,c. 624,704,,
Adrian and Natalia of Nicomedia,200s,4 March 306,,Husband and wife
Adrian of Canterbury,c. 630,c. 710,,
Adrian van Hilvarenbeek,1528,9 July 1572,29 June 1867 by Pope Pius IX,One of the Martyrs of Gorkum[24]
Adulf,unknown,c. 680,,
Aedesius of Alexandria,200s,8 April 306,found in Roman Martyrology[1],
Ælfheah of Canterbury,c. 953,19 April 1012,1078 by Pope Gregory VII,"Archbishop of Canterbury, Bishop of Winchester"
Ælfwold II,unknown,1058,,Bishop of Sherborne
Aelred of Rievaulx,1110,12 January 1167,,
Afan,unknown,500s,,
Afra,291,304,found in Roman Martyrology[1],"Virgin, martyr"
Africus,600s,600s,,
Agabus,unknown,unknown,,
Agapitus,unknown,6 August 258,found in Roman Martyrology[1],
"Agapius, Atticus, Carterius, Styriacus, Tobias, Eudoxius, Nictopolion, and companions",unknown,315,,
Agatha Kwon Chin-i,1820,1840,1984 by Pope John Paul II,One of the Korean Martyrs
Agatha Lin,1817,1858,2000 October 1 by Pope John Paul II,
Agatha of Sicily,c. 231,c. 251,found in Roman Martyrology[1],"Martyr; patron saint of breast cancer patients, martyrs, wet nurses, bell-founders, bakers, fire, earthquakes, and eruptions of Mount Etna"
Agatha Yi Kyong-i,1814,1840,1984 May 6 by Pope John Paul II,One of the Korean Martyrs
Agathangelus of Rome,200s,c. 312,found in Roman Martyrology[1],
Agathius,200s,c. 303,found in Roman Martyrology[1],
Agathoclia,unknown,c. 230,,
Agathon of Scetis,300s,c. 435,,
Agathonicus,200s,200s,,
Agathopodes,unknown,150,found in Roman Martyrology[1],
Agilbert,600s,600s,,
Agilberta,unknown,680,,
Agilulfus of Cologne,unknown,c. 750,,
Agilus,c. 580,c. 650,,
Agnellus of Pisa,c. 1195,7 May 1236,1882 by Pope Leo XIII,
Agnes of Assisi,c. 1197,16 November 1253,1753 by Pope Benedict XIV,Younger sister of St. Clare of Assisi
Agnes of Bohemia,20 June 1211,2 March 1282,12 November 1989 by Pope John Paul II[25],
Agnes of Montepulciano[26],28 January 1268,20 April 1317,10 December 1726 by Pope Benedict XIII,
Agnes of Poitiers,unknown,586,,
Agnes of Rome,unknown,304,found in Roman Martyrology[1],"Virgin, martyr"
Agnes Tsao Kou Ying,28 April 1821,1 March 1856,1 October 2000 by Pope John Paul II,
Agobard,c. 769,840,,
Agostina Livia Pietrantoni[27],27 March 1864[28],13 November 1894[28],18 April 1999 by Pope John Paul II[29],She was killed by a patient she was taking care of[29]
Agostino Roscelli[30],27 July 1818,7 May 1902,10 June 2001 by Pope John Paul II[31],
Agricius of Trier,c. 260,"329, 333 or 335",found in Roman Martyrology[1],
Agricola,200s,c. 304,found in Roman Martyrology[1],
Agricola of Avignon,c. 630,c. 700,,
Agrippina of Mineo,200s,262,,
Agrippinus of Naples,200s,200s,,
Agustín Caloca Cortés[20],5 May 1898,25 May 1927,21 May 2000 by Pope John Paul II[20],One of the Saints of the Cristero War[32]
Aibert,1060,0407,,
Aichardus,600s,687,,
Aidan of Lindisfarne,c. 590,31 August 651,,
Aignan of Orleans,c. 358,453,,
Ailbe of Emly,400s,528,,
Aileran,unknown,29 December 664 or 665,,
Aimo,unknown,1173,,
Alban,unknown,"22 June 209, 251, or 304",found in Roman Martyrology[1],
Alban of Mainz,300s,400s,,
Alban Roe,20 July 1583,21 January 1642,25 October 1970 by Pope Paul VI[33],One of the Forty Martyrs of England and Wales[34]
Alberic Crescitelli,30 June 1863,21 July 1900,1 October 2000 by Pope John Paul II,One of the Martyrs of China
Alberic of Cîteaux,1000s,26 January 1109,,
Alberic of Utrecht,unknown,21 August 784,,
Albert Chmielowski[35],20 August 1845,25 December 1916,12 November 1989 by Pope John Paul II[36],
Albert of Genoa,unknown,1239,,
Albert of Louvain[37],c. 1166[37],24 November 1192[37][38],9 August 1613 by Pope Paul V,Murdered by three German knights shortly after becoming Bishop of Liège and regarded as a martyr afterwards.[20][39]
Albert of Montecorvino,unknown,1127,,
Albert of Trapani,c. 1240,7 August 1307,31 May 1476 by Pope Sixtus IV,
Albert of Vercelli,1100s,14 September 1214,,Also known as Albert of Jerusalem
Alberto Hurtado Cruchaga[40],22 January 1901,18 August 1952,23 October 2005 by Pope Benedict XVI[41],
Albertus Magnus[42],before 1200,15 November 1280,16 December 1931 by Pope Pius XI[42],
Albinus of Angers,c. 470,550,,Invoked against pirate attacks
Alchmund of Hexham,unknown,7 September 780 or 781,,
Alcuin[43],c. 735,19 May 804,,Played an important role in the development of the Carolingian minuscule[44][45]
Aldebrandus,1119,30 April 1219,,Bishop of Fossombrone
Aldegund,639,684,,
Aldhelm,c. 639,25 May 709,,
Alena,600s,c. 640,,
Alexander,100s,177,found in Roman Martyrology[1],
Alexander I of Alexandria,200s,26 February or 17 April 326 or 328,,Pope of Alexandria
Alexander Briant,17 August 1556,1 December 1581,25 October 1970 by Pope Paul VI[33],One of the Forty Martyrs of England and Wales[34]
Alexander of Comana,unknown,c. 250,,
Alexander of Constantinople,237–245,337,found in Roman Martyrology[1],Archbishop of Constantinople
Alexander of Jerusalem,100s,251,found in Roman Martyrology[1],
Alexander Sauli[46][47],15 February 1534,11 October 1592,11 December 1904 by Pope Pius X[48][46],
Alexis Falconieri,1200s,17 February 1310,15 January 1888 by Pope Leo XIII[49],One of the Seven Holy Founders of the Servite Order[50][51]
Alexius of Rome,300s,400s,found in Roman Martyrology[1],
Alfonso Maria Fusco,23 March 1839,6 February 1910,16 October 2016 by Pope Francis[52],
Alfonso Rodríguez Olmedo,10 March 1598,15 November 1628,16 May 1988 by Pope John Paul II[53],
Alice of Schaerbeek,c. 1220,11 June 1250,1907 (cultus confirmed) by Pope Pius X,
Alkmund of Derby[54],c. 770,800,,Killed by Eardwulf of Northumbria
Almus,unknown,1270,,
Alonso de Orozco Mena[55],17 October 1500,19 September 1591,19 May 2002 by Pope John Paul II[56][57],
Aloysius Gonzaga,9 March 1568,21 June 1591,31 December 1726 by Pope Benedict XIII,
Alphonsa[58],19 August 1910,28 July 1946,12 October 2008 by Pope Benedict XVI[59][60],She was the first woman of Indian origin to be canonised as a saint by the Catholic Church[61]
Alphonsus Liguori[62],27 September 1696,1 August 1787,26 May 1839 by Pope Gregory XVI[63][64],Doctor of Church[63]
Alphonsus Rodriguez,25 July 1532,31 October 1617,15 January 1888 by Pope Leo XIII,
Alto of Altomünster,unknown,c. 760,,
Alypius of Thagaste,400s,500s,1584 by Pope Gregory XIII,
Amabilis of Riom,unknown,c. 475,,
Amadio degli Amidei,1200s,1266,15 January 1888 by Pope Leo XIII[49],One of the Seven Holy Founders of the Servite Order[50][51]
Amalberga of Maubreuge,600s,c. 690,,
Amalberga of Temse,c. 741,10 July 772,,
Amandus,584,679,1584 by Pope Gregory XIII,
Amantius of Como,300s,8 April 448,found in Roman Martyrology[1],
Amata of Assisi,1200s,1250,,
Amato Ronconi[65],1225,8 May 1292,23 November 2014 by Pope Francis[66],
Amator,300s,1 May 418,found in Roman Martyrology[1],
Amatus,unknown,627,3 December 1049 by Pope Leo IX,
Ambrose Barlow[67],1585[68],10 September 1641,25 October 1970 by Pope Paul VI[69],One of the Forty Martyrs of England and Wales[34]
Ambrose of Alexandria,100s,c. 250,,
Ambrose of Milan,c. 340,4 April 397,found in Roman Martyrology[1],
Ambrósio Francisco Ferro,unknown,3 October 1645,15 October 2017 by Pope Francis,
Ambrosio Kibuuka,1868,3 June 1886[23],18 October 1964 by Pope Paul VI,One of the Uganda Martyrs[14]
Ampelus,200s,302,found in Roman Martyrology[1],
Amphibalus,200s,25 June 304,,
Amun,200s,300s,,
Amunia of San Millán,unknown,1069,,
Ananias of Damascus,unknown,unknown,,Disciple of Jesus
Anastasia,0s,68 AD,found in Roman Martyrology[1],
Anastasia of Sirmium,200s,25 December 304,found in Roman Martyrology[1],
Anastasia the Patrician,500s,500s,,
Anastasius of Antioch,200s,302,found in Roman Martyrology[1],
Anastasius of Pavia,600s,680,found in Roman Martyrology[1],
Anastasius of Persia,500s,22 January 628,found in Roman Martyrology[1],
Anastasius of Suppentonia,500s,570,found in Roman Martyrology[1],
Anastasius Sinaita,600s,700s,found in Roman Martyrology[1],
Anastasius the Fuller,200s,304,found in Roman Martyrology[1],
Anatoli Kiriggwajjo [sw][12],1800s,3 June 1886,18 October 1964 by Pope Paul VI,One of the Uganda Martyrs[14]
Anatolia,200s,250,found in Roman Martyrology[1],
Anatolius of Laodicea,200s,3 July 283[70],found in Roman Martyrology[1],Invented the first Metonic 19-year lunar cycle[71] in the 270s[72]
André Bessette[73][74],9 August 1845,6 January 1937,17 October 2010 by Pope Benedict XVI[75][76][77],
André de Soveral,c. 1572,16 July 1645,15 October 2017 by Pope Francis,
André-Hubert Fournet,6 December 1752,13 May 1834,4 June 1933 by Pope Pius XI[78],Priest of the Diocese of Poitiers; founder of the Sisters of the Cross
Andrea Dotti,1256,31 August 1315,29 November 1806 by Pope Pius VII,
Andrew Avellino,1521,10 November 1608,22 May 1712 by Pope Clement XI,
Andrew Bobola,1591,16 May 1657,17 April 1938 by Pope Pius XI[79],Professed priest of the Jesuits; martyr
Andrew Corsini,30 November 1302,6 January 1374[80],22 April 1629 by Pope Urban VIII[81],
Andrew Dũng-Lạc,1795,21 December 1839,19 June 1988 by Pope John Paul II,One of the Vietnamese Martyrs
Andrew Kaggwa,1856,26 May 1886[23],18 October 1964 by Pope Paul VI,One of the Uganda Martyrs[14]
Andrew Kim Taegon,21 August 1821,16 September 1846,6 May 1984 by Pope John Paul II,One of the Korean Martyrs
Andrew of Crete,c. 650,4 July 712 or 726 or 740,,
Andrew of Trier,unknown,235,,
Andrew Stratelates,200s,300,,
Andrew the Apostle,c. 5 BC,62 AD,found in Roman Martyrology[1],
Andrew the Scot,800s,c. 877,,
Andrew Wouters,1542,9 July 1572,29 June 1867 by Pope Pius IX,One of the Martyrs of Gorkum[24]
Andrew Zorard,c. 980,c. 1009,July 1083 by Pope Gregory VII,
Andronicus,200s,304,,
Angadrisma,600s,c. 695,,
Angela Merici,21 March 1474,27 January 1540,24 May 1807 by Pope Pius VII,
Angela of Foligno[82][83],1248[84],3 January 1309[84],9 October 2013 by Pope Francis[85],"Her canonization was an ""equivalent canonization"" (without executing the ordinary judicial process of canonization).[86]"
Angela of the Cross[87][88][20][89],30 January 1846[90],2 March 1932[91],4 May 2003 by Pope John Paul II[88][92],Founder of the Institute of the Sisters of the Company of the Cross[90]
Angelelmus,unknown,828,,Bishop of Auxerre
Angelus of Jerusalem,1185,5 May 1220,c. 1459 by Pope Pius II,
Angilbert,760,18 February 814,1100 by Pope Urban II,
Anianus of Alexandria,unknown,29 November 83,found in Roman Martyrology[1] l,
Aniceto Adolfo[93],4 October 1912,9 October 1934,21 November 1999 by Pope John Paul II[94],One of the Martyrs of Turon[95]
Anna Maria Rubatto,14 February 1844,6 August 1904,15 May 2022 by Pope Francis,
Anna Pak Agi,1783,24 May 1839,6 May 1984 by Pope John Paul II,One of the Korean Martyrs
Anna Schäffer[96],18 February 1882,5 October 1925,21 October 2012 by Pope Benedict XVI[97],
Anna the Prophetess,1st century BC,0s,found in Roman Martyrology[1],
Anna Wang,1886,22 July 1900,1 October 2000 by Pope John Paul II,One of the Chinese Martyrs
Anne,c. 50 BC,12 AD,found in Roman Martyrology[1],
Anne Line,c. 1563,27 February 1601,25 October 1970 by Pope Paul VI[33],One of the Forty Martyrs of England and Wales[34]
Anne-Marie Rivier,19 December 1768,3 February 1838,15 May 2022 by Pope Francis,
Annibale Maria di Francia[98],5 July 1851,1 June 1927,16 May 2004 by Pope John Paul II[99],
Anno II,c. 1010,4 December 1075,29 April 1183 by Pope Lucius III,
Ansanus,c. 285,c. 304,found in Roman Martyrology[1],
Ansbert,unknown,c. 695,,
Ansegisus,c. 770,20 July 833 or 834,,
Anselm of Canterbury,c. 1033,21 April 1109,1163 by Pope Alexander III,
Anselm of Lucca,1036,18 March 1086,,
Ansfried of Utrecht,900s,3 May 1010,,
Ansgar,8 September 801,3 February 865,1584 by Pope Gregory XIII,
Ansovinus,700s,816,,
Anstrudis,unknown,688,,
Ansurius,800s,925,,
Antanansio Bazzekuketta,1800s,27 May 1886[23],18 October 1964 by Pope Paul VI,One of the Uganda Martyrs[14]
Anthelm of Belley,26 December 1107,26 June 1178,1368 by Pope Urban V,
Anthimus of Nicomedia,200s,"303, 311, or 312",found in Roman Martyrology[1],
Anthimus of Rome,200s,303,found in Roman Martyrology[1],
Anthony Dainan,1584,5 February 1597,8 June 1862 by Pope Pius IX,One of the 26 Martyrs of Japan
Anthony Maria Zaccaria,1502[100],5 July 1539[100],27 May 1897 by Pope Leo XIII,
Anthony Mary Claret[101],23 December 1807[100],24 October 1870[100],7 May 1950 by Pope Pius XII[102][103],
Anthony of Antioch,266,302,found in Roman Martyrology[1],
Anthony of Hoornaar,1500s,9 July 1572,29 June 1867 by Pope Pius IX,One of the Martyrs of Gorkum[24]
Anthony of Padua,15 August 1195,13 June 1231,"30 May 1232, Spoleto, Italy by Pope Gregory IX","[104] Portuguese catholic priest and member of the order of friars minor, proclaimed a Doctor of the Church by Pope Pius XII on 16 January 1946."
Antoninus of Florence,1 March 1389,2 May 1459,31 May 1523 by Pope Adrian VI,
Anthony of St. Ann Galvão[105][106],1739,23 December 1822[105],11 May 2007 by Pope Benedict XVI[107],First Brazilian saint.[107] Professed priest of the Franciscan Friars Minor.[108][106]
Anthony of Weert,1523,9 July 1572,29 June 1867 by Pope Pius IX,One of the Martyrs of Gorkum[24]
Anthony the Great,12 January 251,17 January 356,found in Roman Martyrology[1],
Anthony the Hermit,c. 468,c. 520,1584 by Pope Gregory XIII,
Anthusa of Constantinople,750 or 757,801 or 808,,Daughter of Constantine V
Antia of Illyria,unknown,c. 138,found in Roman Martyrology[1],
Antiochus of Sulcis,0s,c. 110 AD,found in Roman Martyrology[1],
Antipas of Pergamum,unknown,0s,found in Roman Martyrology[1],
Antoine Daniel[109],27 May 1601,4 July 1648,29 June 1930 by Pope Pius XI[110],One of the Canadian Martyrs[111]
Anthony of Kiev,c. 983,c. 1073,31 May 1532 by Pope Gregory IX[112] found in Roman Martyrology[104],"Russian Orthodox saint, founder of the Kiev Pechersk Lavra.[113][114]"
Antoninus of Pamiers,unknown,unknown,,
Antoninus of Piacenza,200s,303,found in Roman Martyrology[1],
Antoninus of Rome,100s,186,found in Roman Martyrology[1],
Antoninus of Sorrento,555 or 556,625,,
Antonio Gonzalez,1593,24 September 1637,18 October 1987 by Pope John Paul II[115],One of the 16 Martyrs of Japan
Antonio Maria Gianelli,12 April 1789[100],7 June 1846[100],21 October 1951 by Pope Pius XII[116],Bishop of Bobbio; founder of the Daughters of Our Lady of the Garden
Antonio Maria Pucci[117],16 April 1819[118],12 January 1892[100],9 December 1962 by Pope John XXIII[119],
Antonio of Tlaxcala[120],c. 1516,1529,15 October 2017 by Pope Francis[121],One of the Child Martyrs of Tlaxcala
Anysia of Salonika,284,304,found in Roman Martyrology[1],
Aphian,c. 287,c. 305,,
Aphrahat,c. 280,c. 345,found in Roman Martyrology[1],
Aphrodisius,25 May 7 AD,28 April 65 AD,found in Roman Martyrology[1],"Priest of the Diocese of Béziers, martyr"
Apollinaris Claudius,0s,100s,found in Roman Martyrology[1],
Apollinaris of Ravenna,unknown,c.79 AD,found in Roman Martyrology[1],
Apollinaris of Valence,c. 453,c. 520,,
Apollinaris Syncletica,unknown,420,,
Apollonia,100s,249,found in Roman Martyrology[1],
Apollonius the Apologist,100s,21 April 185,found in Roman Martyrology[1],
Apollos,0s,0s,,
Apphia,unknown,68 AD,found in Roman Martyrology[1],
Apronia of Toul,500s,500s,,
Aprus of Toul,600s,15 September 507,,
Aquila,0s,0s,,listed among the Seventy Disciples
Aquilina,281,13 June 293,,Child martyr
Aquilinus of Évreux,c. 620,695,found in Roman Martyrology[1],
Aquilinus of Fossombrone,unknown,200s,found in Roman Martyrology[1],
Aquilinus of Milan,unknown,1015,,
Arbogast,unknown,c. 678,,
Arcadius of Bourges,unknown,549,,
Arcadius of Mauretania,200s,c. 302,found in Roman Martyrology[1],
Arcangelo Tadini[122],12 December 1846[123],20 May 1912[123],26 April 2009 by Pope Benedict XVI[124][125],
Archippus,unknown,0s,found in Roman Martyrology[1],
Aredius,c. 510,591,,
Arethas,unknown,c. 523,,
Argeus of Tomi,200s,c. 320,found in Roman Martyrology[1],
Ariadne of Phrygia,unknown,130,found in Roman Martyrology[1],
Arialdo,c. 1010,27 June 1066,,
Arilda of Oldbury,unknown,,,
Aristides of Athens,unknown,unknown,,
Aristobulus of Britannia,unknown,0s,,First Bishop of Roman Britain
Armogastes,unknown,after 460,,
Arnold Janssen[126],5 November 1837,15 January 1909,5 October 2003 by Pope John Paul II[127],
Arnold of Arnoldsweiler,700s,700s,,
Arnold of Soissons,1040,1087,6 January 1120 by Pope Callixtus II,
Arnulf of Metz,c. 582,c. 647,,
Arsenius the Great,c. 350,445,,Desert Father
Artaldus,1101,1206,,
Artémides Zatti,12 October 1880,15 March 1951,9 October 2022 by Pope Francis,
Artemius,unknown,362,,
Arthelais,544,560,,
Asaph,500s,1 May 596,found in Roman Martyrology[1],
Ascelina,1121,1195,,
Asclepiades of Antioch,unknown,217,,
Asella,c. 334,c. 406,,
Aspren,0s,100s,found in Roman Martyrology[1],
Assicus,unknown,c. 490,,St. Patrick's coppersmith
Asteria of Bergamo,200s,307,found in Roman Martyrology[1],
Asterius of Amasea,c. 350,c. 410,,
Asterius of Petra,unknown,365,found in Roman Martyrology[1],
Astius,0s,117 AD,found in Roman Martyrology[1],Bishop of Dyrrachium
Athanasia of Aegina,c. 790,14 August 860,,
Athanasius I,830,872,,
Athanasius of Alexandria,296–298,2 May 373,found in Roman Martyrology[1],
Athanasius the Athonite,c. 920,c. 1003,,
Athelm,unknown,8 January 926,,
Athracht,500s,500s,,
Atilano Cruz Alvarado[128],5 October 1901,1 July 1928,21 May 2000 by Pope John Paul II[129],One of the Saints of the Cristero War
Attala,unknown,622,,
Attilanus,937,1007,1095 by Pope Urban II,
Audax,200s,250,found in Roman Martyrology[1],
Audifax,200s,270,found in Roman Martyrology[1],
Audoin,609,24 August 684,,
Augulus,unknown,unknown,,
Augusta of Treviso,unknown,unknown,,
Auguste Chapdelaine,6 January 1814,29 February 1856,,
Augustine of Canterbury[130][131],500s,26 May 604[132][133],found in Roman Martyrology[1],"Founder of the English church.[134] First Archbishop of Canterbury[135][136] A stone memorial, the St Augustine's Cross, was erected in Kent 1884, at the location where local legend recounted that St. Augustine first met King Ethelbert.[137]"
Augustine of Hippo,13 November 354,28 August 430,found in Roman Martyrology[1],
Augustine Webster,1400s,4 May 1535,25 October 1970 by Pope Paul VI[33],One of the Forty Martyrs of England and Wales[34]
Augusto Andrés [es][93],6 May 1910,9 October 1934,21 November 1999 by Pope John Paul II[94],One of the Martyrs of Turon[95]
Aurea of Ostia,unknown,200s,,
Aurea of Paris,unknown,666,,
Áurea of San Millán,1043,11 March 1070,,
Aurelian of Limoges,unknown,unknown,,
Aurelius of Carthage,unknown,20 July 429,,
Aurelius of Cordoba,unknown,852,,Among the Martyrs of Cordoba
Aureus of Mainz,unknown,16 June 436 or 451,,
Auspicius of Trier,unknown,c. 130,found in Roman Martyrology[1],
Austrebertha,630,10 February 704,,
Austregisilus,unknown,624,,
Austromoine,200s,200s,,
Autonomus,200s,c. 313,found in Roman Martyrology[1],
Auxentius of Bithynia,c. 400,14 February 473,,
Auxentius of Mopsuestia,unknown,360,,
Aventinus of Tours,unknown,1180,,
Avilius of Alexandria,unknown,11 September 95,,Patriarch of Alexandria
Avitianus,unknown,325,,
Avitus of Vienne,c. 450,between 517-519,,
Aye,unknown,c. 711,,
Aymard of Cluny,unknown,965,,
Babylas of Antioch,unknown,253,,
